fld_prodid,fld_level0,fld_level0id,Category,ID,Category,ID,Name,Business Type,Description,Year Of Establishment,Landline,Mobile,E-mail,Web address,Address,Pincode,Working Hours,Working Days,Mode of Payment,Logo Location,,
22,Building Services,15,Interior Designer,4,Interior Designer,4,Feet And Inches,Interior Decorators ,Feet And Inches is counted among the noted organization engaged in offering a quality assured range of Construction material. The products range Rods Blinds Fall Ceiling and Stain Glass. All the industrial construction products that we offer are sourced from trusted manufacturers of the market.,2006,,9677720001 | 9677720003 | 9003715212,,www.feetandinche.in,71|142 opp kanthria vidayalaya school PT Rajan Road Sellur Madurai - 625002,625002,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",,,
23,Building Services,15,Interior Designer,4,Interior Designer,4,Kings Interior,Interior Decorators ,"Welcome to Kings Interior Interior Designers
 in Madurai Tamil Nadu India. Introduction to 
Interior Design Services Interior Decorators in 
MaduraiTamil Nadu India. A prestigious interior 
designing interior design planning interior 
architectural planning and designing home and 
office interior designing Kings Interior exemplifies 
creativity in every sense of the word.",2010,2484481,9842118481 | 9843018481,,www.kingsinterior.com,No 2 and 3 Opposite To Seethalakshmi Mill Gst Main Road Sowbackkiya Nagar Thirunagar Madurai HO Madurai - 625001,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",King-interior.jpg,,
24,Building Services,15,Interior Designer,4,Interior Designer,4,Mathura Associates,Interior Decorators ,Mathura Associates gave a fine touch for the canopies and awnings with latest technology and latest materials like polycarbonate UPVC aluminium PVC fabric and tensile fabric and this is the new trend to attract the architects and through them our products has been launched. We are also doing coated steel roofing for the industries and factories.,2006,,9965881704 | 9600631864,,,No 47b 1st Floor Upstrais Uniion Bank ATM Near Central Theatre Town Hall Road Madurai City Madurai - 625001 ,625001,"04:30 pm to 07:00 pm and 04:00 pm to 07:00 pm | 
05:30 am to 05:30 am and 04:00 pm to 07:00 pm ","Monday to Sturday | 
Sunday","Cash,Cheques",,,
25,Building Services,15,Interior Designer,4,Interior Designer,4,Brahmaa Architects,Interior Decorators ,Brahmaa Architects firm started in the year of 2007 and the branch office at Tirunelveli. and we finished above 2000 projects in madurai and tirunelveli Brahmaa Architects is a team of dedicated professionals engaged in consultancy services in the field of Architectural Civil Project Management and Interior Designing with a wealth of project and development experience covering residential commercial and industrial projects.,2000,4225774,9894999998 | 8489278112,brahmaa2020@gmail.com,www.brahmaaarchitects.com,No 66 J Vani Illam Opposite Mary Ann School D R O Colony Main Road . K Pudhur Madurai Ho Madurai - 625001 ,625001,09:00 am to 08:00 pm,Mondy To Sunday,"Cash,Cheques",brahmaaarchitects.jpg,,
26,Building Services,15,Interior Designer,4,Interior Designer,4,Cool Creators,Interior Decorators ,We Cool Creators are acknowledged among the leading companies of the industry that are engaged in offering designing planning and construction services. These reliable construction and planning services are rendered by our skilled staff which has experience of many years. Moreover these house planning and designing services are appreciated for their reliability flexibility and quality adherence. Customers can avail these house planning and building construction services from us as per their specific requirements and at market leading prices.,2012,,8220047477 | 9597718777,,,No 153|S Near Sithi Vinayagar Temple North Veli Street Madurai Ho Madurai - 625001,625001,10:00 am to 07:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
27,Building Services,15,Interior Designer,4,Interior Designer,4,Micron Enterprises,Interior Decorators ,We hold over several years of experience in the industry and possess eminent professionals who can provide you with the best service. We shall stick on to deadlines and deliver prompt services to you,2009,2626962,9789568346 | 9171646962,,www.micronenterprisesmdu.wix.com|home,32 | 33 Near D. M. Court Pandiya Vellalar Street Madurai City Madurai - 625001 ,625001,,,,,,
28,Building Services,15,Interior Designer,4,Interior Designer,4,Sri Vinayaga Interiors Enterprises,Interior Decorators ,We Sri Vinayaga Interiors Enterprises is one of the renowned Industrial Decoration service providers undertaking metal finishing services and Stainless Steel Fabrication Works for various industries. In addition to this we also provide Variable Design Interior Work as per the specific requirements of our clients,1990,4217246,8015151511 | 9003403366,,www.srivinayagainteriors.com,No 84|F Near Jeyam Theature Bye Pass Road Pasumpon Nagar Palanganatham Madurai - 625003,625003,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",,,
29,Building Services,15,Interior Designer,4,Interior Designer,4,Sri Interior,Interior Decorators ,We set up SRI INTERIOR in Madurai tamil nadu back in 2005 and since then have been delighting clients all over India with successfully executed projects ? in a variety of industries across every possible scale. We bring experience in design and technical excellence in execution to every project ? big and small. Through it all we never lose sight of our core focus on quality and professionalism.,2005,4255049,9894126842,,www.sriinterior.com,No 27|11 First Floor Sarojini Street Chinna Chokkikulam Madurai - 625002 ,625002,09:30 am to 05:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",Sri-Interior.jpg,,
30,Building Services,15,Interior Designer,4,Interior Designer,4,Keizen Constructions,Interior Decorators ,Kaizen Constructions Managing Director Vince Russo began his building career as a trainee scheduler. Once qualified he worked as a scheduler and estimator for 10 years before becoming a registered builder and joining his familys building company. After running the family business for 9 years he broke away to set up Kaizen Construction in 2008.,1999,,9894014174 | 9894014074,,,No 305 Rajan Complex Adjuscent To Bell Hotel Tamil Sangam Road Madurai North Madurai - 625001 ,,09:00 am to 08:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",Kaizen-Construction.jpg,,
31,Building Services,15,Interior Designer,4,Interior Designer,4,Colors Kitchen Designer,Interior Decorators ,COLORS is an one stop kitchen store offering entire range of modular kitchens Wardrobes Furniture accessories appliances etc kitchen products and services. The COLORS Outlet is manned by skilled and experienced personnel trained in all aspects of kitchen design and execution. The products of COLORS conform to all prescribed standards in designing quality and are recognized for their quality workability and long-lasting strength.,2001,2522012 | 3241636,9994845577 | 9944060061,,www.colorskitchen.in,No 22 A Ist Floor Near Malligai Sweets Gokhale Road Chinna Chokkikulam Madurai - 625002,625002,09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",Colors-Kitchen.jpg,,
32,Building Services,15,Interior Designer,4,Interior Designer,4,Blessy Construction,Interior Decorators ,Blessy Constructions is one of the famous construction companies in Madurai. We have a wide range of constructions services for our clients. We have 20 years of experience in this field. We have well experienced engineers to provide quality contruction. If you are searching for best constructions companies in Madurai Contact Blessy Constructions. We are specialized in offering apartments constructions.,2008,2562411,9442564448 | 9842175975,,,No 70 Near ICICI Bank ATM Alagar Kovil Main Road K Pudhur Madurai - 625007,625007,09:00 am to 07:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
33,Building Services,15,Interior Designer,4,Interior Designer,4,Dream world interior,Interior Decorators ,Dream World Interiors is one of the leading interior decorators in Madurai. We deal with all kinds of interior decoration works such as aluminium works floorings false ceilings wood works modular kitchen works and many others. We have almost two decades of experience in this field and thus are significant in delivering interior decorative products with latest designs that exactly suit todays trends and styles.,1998,,9952482443 | 9344112740,dreamilhan@yahoo.com,www.dreamworldinterior.net,Hussain Building 2nd Floor TVS Bulk opp 1c|16South veili street South Gate Madurai - 625001 ,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",Dream-world-interior.jpg,,
34,Building Services,15,Interior Designer,4,Interior Designer,4,BHAGAVATHY INTERIORS,Interior Decorators ,Bhagavathy Interiors is an Interior company which focuses on design supply and installation of Interior solutions. The imported products we offer are well known for their endurance and beauty. We have taken the privilege of bringing a few of our esteemed products to your kind notice for which we are currently the authorized dealers at Madurai. We believe in creating Interiors!,2013,4362077,9698972077 | 7373772077,Info@bhagavathyinteriors.com,,No 302 |2 B Near Canara Bank  Gomathi Puram 6 Th Main Road Balaji Bhavanam  Magilam Poo Street Anna Nagar Madurai Madurai - 625020,625020,09:30 am to 06:30 pm | Closed ,"Monday To Saturday |
Sunday","Cash,Cheques",BHAGAVATHY-INTERIORS.jpg,,
35,Building Services,15,Interior Designer,4,Interior Designer,4,L and B Associates,Interior Decorators ,We L and B Associates is one of the renowned Industrial Decoration service providers undertaking metal finishing services and Stainless Steel Fabrication Works for various industries. In addition to this we also provide Variable Design Interior Work as per the specific requirements of our clients,1997,,9790081612 | 9444381613,,,No 11|1 Near Arasan Sweets E2e2 Road Chinna Chokkikulam Madurai - 625002,625002,09:30 am to 07:30 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
36,Building Services,15,Interior Designer,4,Interior Designer,4,Royale Fiixtures,Interior Decorators ,We set up Royale Fiixtures in Madurai tamil nadu back in 2005 and since then have been delighting clients all over India with successfully executed projects ? in a variety of industries across every possible scale. We bring experience in design and technical excellence in execution to every project ? big and small. Through it all we never lose sight of our core focus on quality and professionalism.,2006,,8870011577,,,No-14d|1 Chokkalinga NagarBypass Road 7th First Cross Street S S Colony Madurai - 625016,625016,09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
37,Building Services,15,Interior Designer,4,Interior Designer,4,Elite Developers,Interior Decorators ,Elite Developers Managing Director Vince Russo began his building career as a trainee scheduler. Once qualified he worked as a scheduler and estimator for 10 years before becoming a registered builder and joining his familys building company. After running the family business for 9 years he broke away to set up Kaizen Construction in 2008.,2012,4250177,8940568033 | 9790222020,info@elitedeveloper.in,www.elitedeveloper.in,No 136 Shop No 5 Kallalagar Complex Near Hello Fm Alagarkovil Main Road Tallakulam Madurai - 625002,625002,09:30 am to 06:30 pm  | 05:30 am to 05:30 am,"Monday To Saturday |
Sunday","Cash,Cheques",,,
38,Building Services,15,Interior Designer,4,Interior Designer,4,Makeshwari Designs and Constructions,Interior Decorators ,Located at Madurai weMakeshwari Designs and Constructions are one of the widely acknowledged organization involved in real estate development. We are counted amongst the reputed Real Estate Promoters engaged in Construction of various Residential Buildings and Plots. We are supported with the team of skilled and experienced professionals who hold years of experience in this domain,1993,,9843170177,,,No 149 A and B Karur Vysa Bank Basement Alagar Kovil Main Road Tallakulam Madurai - 625002 ,625002,09:30 am to 09:30 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
39,Building Services,15,Interior Designer,4,Interior Designer,4,Sree Vinayaka Interiors,Interior Decorators ,We Sree Vinayaka Interiors is one of the renowned Industrial Decoration service providers undertaking metal finishing services and Stainless Steel Fabrication Works for various industries. In addition to this we also provide Variable Design Interior Work as per the specific requirements of our clients. To execute these services we have qualified and experienced team of efficient professionals. ,2004,,9842116123 | 9894637917,,,No. 108 Opp To Madura Coats Mill New Jail Road Madurai Ho Madurai - 625001,625001,09:30 am to 10:00 pm | 09:30 am to 02:00 pm ,"Monday To Saturday |
Sunday","Cash,Cheques",,,
40,Building Services,15,Interior Designer,4,Interior Designer,4,Bala Praba Interior,Interior Decorators , Bala Praba Interior Interiors is one of the renowned Industrial Decoration service providers undertaking metal finishing services and Stainless Steel Fabrication Works for various industries. In addition to this we also provide Variable Design Interior Work as per the specific requirements of our clients. To execute these services we have qualified and experienced team of efficient professionals. ,2000,,9842556560 | 9445645050 | 9659007070,,,Poonthamali Nagar Near Balamurugan Koil Thendral Street Sellur Madurai - 625002,625002,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",,,
41,Building Services,15,Interior Designer,4,Interior Designer,4,Blue Interior,Interior Decorators ,We set up Blue Interior in Madurai tamil nadu back in 2012 and since then have been delighting clients all over India with successfully executed projects ? in a variety of industries across every possible scale. We bring experience in design and technical excellence in execution to every project ? big and small. Through it all we never lose sight of our core focus on quality and professionalism.,2012,,9789337711 | 8883630142,,www.blueinterior.in,No 19 CSI Complex Near Jeyaram Bakery Tiruparangundra Main Road Madurai Ho Madurai - 625001 ,625001,09:00 am to 09:30 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
42,Building Services,15,Interior Designer,4,Interior Designer,4,Sri Sastha Electricals,Interior Decorators ,Sri Sastha Electricals firm started in the year of 2012 and the branch office at Tirunelveli. and we finished above 2000 projects in madurai and tirunelveli Brahmaa Architects is a team of dedicated professionals engaged in consultancy services in the field of Architectural Civil Project Management and Interior Designing with a wealth of project and development experience covering residential commercial and industrial projects.,2012,,9942266605 | 9976566605,,,No 34 Near Meenakshi College Jaihindpuram Main Veedhi Jaihindpuram Madurai - 625011,625011,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",,,
43,Building Services,15,Interior Designer,4,Interior Designer,4,Milan Trading Corporation,Interior Decorators ,We Milan Trading Corporation are one of the leading consultants of ceiling solutions in Madurai. Our company offer reliable solutions and products to the clients. The array of our products and services include fall ceiling designer fall ceiling round fall ceiling PVC fall ceiling and zip board fall ceiling. ,,2347514 2345032 4231026 4231027,9443045032 | 9344104951,,,No 69 South Masi Street Madurai Ho Madurai - 625001,625001,09:00 am to 06:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
44,Building Services,15,Interior Designer,4,Interior Designer,4,Rengas Designers,Interior Decorators ,We are a team of architects engineers and interior designers who are committed to give the best services and the best value of money to our clients. Our team is to provide architectural services interior designing and project management creating pleasing innovative designs reflecting the client needs. Our team supports services to provide a complete package for enhanced coordination and execution of projects.,2010,4352686,9952380269 | 9965332686,info@rengasdesigner.com,www.rengasdesigners.com,No 85l north gate ss colony Madurai HO Madurai - 625001,625001,10:00 am to 09:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",Rengas-Designers.jpg,,
45,Building Services,15,Vastu,5,Vastu,5,S Rama Sivanesan,Astrologers,We are Service provider of Astrologers,1993,2531993,9842152064,,www.vasthusecret.com,No MIG 313 Opposite Vasan Eye Hospital 80 Feet Road Arigner Anna Nagar Madurai Ho Madurai - 625001 ,625001,10:00 am to 07:00 pm | 05:30 am to 05:30 am ,"Monday To Saturday |
Sunday","Cash,Cheques",,,
46,Building Services,15,Vastu,5,Vastu,5,Sri Sivaneri Selvam S,Vastu Shastra Consultants,We are Service provider of Astrologers,,2485552,,,,6|6 Thiru Nagar Madurai City Madurai - 625001,625001,09:30 am to 08:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
47,Building Services,15,3D Designer,6,3D Designer,6,Avm 3d Studio,Designing,We Avm 3d Studio are engaged in providing a multitude of photography services to our valued clients. In our range we provide Digital Photography Wedding Photography Photography Studios and Still Photography.,2006,4200164,9842533881 | 9659665645 | 9344172074,,,No 49|1 JBS Complex Bastin Nagar Anna Nagar Main Street Madurai HO Madurai - 625001,625001,09:00 am to 10:00 pm,Monday To Sunday,"Cash,Cheques",,,
48,Building Services,15,3D Designer,6,3D Designer,6,"SAS DESIGN CONSULTANTS
ARCHITECTSPLANNERSINTERIOR 
DESIGNERS3D-VISUALIZER",Designing,We 3D-VISUALIZER are engaged in providing a multitude of photography services to our valued clients. In our range we provide Digital Photography Wedding Photography Photography Studios and Still Photography.,,2482245,9865244993,,,NO A-13RENGANATHAN STREET OPP TO ANNAPARK-THIRUNAGAR THIRUNAGAR-ANNA PARK Madurai HO Madurai - 625001,625001,09:00 am to 09:00 pm | 05:30 am to 05:30 am ,"Monday To Saturday |
Sunday","Cash,Cheques",,,
49,Building Services,15,3D Designer,6,3D Designer,6,vani 3D Digital Studio,Designing,Vani 3D Digital Studio is a proprietary concern of Photography Lenticular 3D Prints and dealing with Glass Wood Marble Prints. Initiated by B. Balashanmugam in the year of 1999. Started as a Studio then upgraded as 3D Studio. Later introduced the innovative Lenticular printing technology then progressed to the extent of printing on different surfaces.,2001,4390802,9842109783,,www.vani3dstudio.com,No 1 Sangeeth Plaza Near Devar Statue Goripalayam Madurai Ho Madurai - 625001 ,625001,09:30 am to 10:00 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
